3872.0,3844.0,4025.0,4331.0,6372.0,5222.0,4138.0,3603.0,2234.0,2355.0
3336.0,2875.0,2779.0,4150.0,3560.0,4583.0,5040.0,2763.0,2046.0,2529.0
3352.0,3013.0,2205.0,2192.0,3610.0,3500.0,3127.0,1677.0,3387.0,3502.0
2799.0,1762.0,1309.0,1773.0,1999.0,1486.0,1336.0,1949.0,2612.0,3289.0
2221.0,1485.0,2235.0,973.0,746.0,749.0,1515.0,1343.0,2539.0,3917.0
1972.0,2300.0,2145.0,1285.0,1060.0,885.0,1473.0,1984.0,1883.0,2567.0
2053.0,2408.0,2241.0,1733.0,2107.0,1314.0,2143.0,2208.0,2889.0,2441.0
2963.0,2684.0,2579.0,1974.0,1954.0,1816.0,1533.0,2145.0,2824.0,2364.0
3519.0,2964.0,2992.0,2477.0,2098.0,2500.0,2347.0,2236.0,2495.0,2968.0
3432.0,3309.0,2970.0,2614.0,3090.0,2561.0,2656.0,2778.0,2149.0,4729.0
