nan,0.0,7050.0,6935.0,7066.0,7458.0,4526.0,5920.0,6265.0,8188.0
10252.0,7835.0,6489.0,0.0,6194.0,4584.0,3605.0,4710.0,5636.0,6756.0
8437.0,6863.0,6712.0,4426.0,3639.0,2599.0,3361.0,3914.0,5378.0,6273.0
7563.0,5760.0,4482.0,4748.0,3227.0,1515.0,2400.0,3749.0,6777.0,5315.0
nan,4159.0,3216.0,3800.0,175.0,1071.0,2312.0,3366.0,4776.0,6824.0
9604.0,4435.0,2464.0,2966.0,1224.0,1662.0,2561.0,5176.0,5969.0,6631.0
10452.0,11386.0,2677.0,5772.0,3969.0,3142.0,5383.0,4860.0,5777.0,13057.0
9910.0,10609.0,5910.0,5244.0,5395.0,4254.0,4279.0,5703.0,6386.0,12722.0
nan,7223.0,8231.0,9123.0,5656.0,5118.0,5065.0,5688.0,6513.0,7605.0
9833.0,9700.0,7543.0,7154.0,6930.0,6963.0,6630.0,7512.0,8805.0,7934.0
